Steps	loss/critic_loss	loss/actor_loss	train/stochastic_reward	train/success	sample_time	eval/episode_reward	eval/episode_reward_std	eval/ep_success_mean	eval/ep_success_std	eval/episode_length	eval/episode_length_std	update/env_step
9	30.016936683654784	14.98440809249878	1.0	0.0	1.2109739780426028	46.333333333333336	6.548960901462833	0.0	0.0	46.333333333333336	6.548960901462833	9.0
19	16.72633867263794	8.345668601989745	1.0	0.0	1.2695427656173706	43.0	11.045361017187261	0.0	0.0	43.0	11.045361017187261	19.0
29	7.5005814790725704	3.736083173751831	1.0	0.0	1.2497492790222167	8.666666666666666	1.699673171197595	0.0	0.0	8.666666666666666	1.699673171197595	29.0
39	3.2657541990280152	1.6123406171798706	1.0	0.0	1.269955086708069	7.333333333333333	1.8856180831641267	0.0	0.0	7.333333333333333	1.8856180831641267	39.0
49	2.9008136034011844	1.4310057163238525	1.0	0.0	1.3402400255203248	7.333333333333333	1.8856180831641267	0.0	0.0	7.333333333333333	1.8856180831641267	49.0
59	3.7374000787734984	1.8539236187934878	1.0	0.0	1.5194183588027954	9.333333333333334	1.8856180831641267	0.0	0.0	9.333333333333334	1.8856180831641267	59.0
69	4.3594097852706915	2.1646235823631286	1.0	0.0	1.4755668878555297	10.0	2.160246899469287	0.0	0.0	10.0	2.160246899469287	69.0
79	4.607449388504028	2.2879119634628298	1.0	0.0	1.5434535264968872	9.333333333333334	1.8856180831641267	0.0	0.0	9.333333333333334	1.8856180831641267	79.0
89	4.219174075126648	2.0941862702369693	1.0	0.0	1.6393811702728271	10.0	2.160246899469287	0.0	0.0	10.0	2.160246899469287	89.0
99	4.759337568283081	2.364549398422241	1.0	0.0	1.7426846265792846	11.0	2.160246899469287	0.0	0.0	11.0	2.160246899469287	99.0
109	4.67757887840271	2.3230356216430663	1.0	0.0	1.7856193304061891	9.666666666666666	2.357022603955158	0.0	0.0	9.666666666666666	2.357022603955158	109.0
119	4.521531867980957	2.245036709308624	1.0	0.0	1.6552723884582523	10.0	2.160246899469287	0.0	0.0	10.0	2.160246899469287	119.0
129	4.717906832695007	2.344472348690033	1.0	0.0	1.6896039724349976	11.0	1.4142135623730951	0.0	0.0	11.0	1.4142135623730951	129.0
139	5.43843846321106	2.7036149501800537	1.0	0.0	1.7340835332870483	9.666666666666666	1.699673171197595	0.0	0.0	9.666666666666666	1.699673171197595	139.0
149	4.521878314018249	2.244842779636383	1.0	0.0	1.644465970993042	9.666666666666666	1.699673171197595	0.0	0.0	9.666666666666666	1.699673171197595	149.0
159	5.439681601524353	2.704309678077698	1.0	0.0	1.6501119613647461	9.666666666666666	1.699673171197595	0.0	0.0	9.666666666666666	1.699673171197595	159.0
169	5.01299090385437	2.490683722496033	1.0	0.0	1.586069655418396	9.333333333333334	1.8856180831641267	0.0	0.0	9.333333333333334	1.8856180831641267	169.0
179	4.7356027364730835	2.35240820646286	1.0	0.0	1.4623801946640014	10.0	1.4142135623730951	0.0	0.0	10.0	1.4142135623730951	179.0
