Steps	loss/critic_loss	loss/actor_loss	train/stochastic_reward	train/success	sample_time	eval/episode_reward	eval/episode_reward_std	eval/ep_success_mean	eval/ep_success_std	eval/episode_length	eval/episode_length_std	update/env_step
9	6341.982070922852	-2.060234587375476e-08	0.8802208721637725	0.0	1.7192870616912843	79.16842967953204	0.40703126405886964	0.0	0.0	51.333333333333336	0.4714045207910317	9.0
19	904.5773284912109	-1.2981891117647137e-08	0.9398160696029663	0.0	1.5787004232406616	76.90278030349619	1.2792098997492154	0.0	0.0	50.0	1.4142135623730951	19.0
29	4462579.431536865	1.1086463969078864e-08	1.0500062704086304	0.0	1.6229286193847656	77.04189839084603	14.575370167677068	0.0	0.0	49.0	9.93310961716756	29.0
39	116354916525.4	-2.491474166976815e-08	1.1029051303863526	0.0	1.8414491415023801	86.80959252220141	14.715571691388597	0.0	0.0	54.666666666666664	10.402991022884823	39.0
49	18287668998.399998	1.8572807031214115e-08	1.1584063827991486	0.0	1.6728027105331422	119.89884571914992	2.1067810731936087	0.0	0.0	75.0	2.160246899469287	49.0
59	360974628.8	-2.040863076452348e-08	1.0406591475009919	0.0	1.9329104185104369	81.57463178452845	1.2950163147142784	0.0	0.0	52.666666666666664	0.9428090415820634	59.0
69	102402996.79999998	-2.7394294432880887e-08	0.9642800509929657	0.0	1.9579857349395755	230.55313974547175	0.9072894275270922	0.0	0.0	129.66666666666666	0.9428090415820634	69.0
79	25920599.200000003	-3.1471254047232793e-09	0.9560593843460083	0.0	1.7987720012664794	198.7562680933162	2.1210192773031498	0.0	0.0	117.0	2.160246899469287	79.0
89	10166473.549999999	-1.2040137420399332e-08	0.989549458026886	0.0	1.7921527147293093	214.58184287805815	1.1184217839814192	0.0	0.0	123.0	1.4142135623730951	89.0
99	1347510454.6000001	-1.0573864628327097e-08	1.0013637363910677	0.0	1.805384373664856	210.61613274151864	3.620807030324785	0.0	0.0	131.0	4.242640687119285	99.0
109	553924588.7	2.908706591142618e-08	0.9553802192211152	0.0	1.733649492263794	75.77265399338543	0.5673136146306419	0.0	0.0	66.66666666666667	0.9428090415820634	109.0
119	13661116.6	-1.2719631081736792e-08	0.9626896262168886	0.0	1.8382574081420897	67.7684801627055	0.26161046986457226	0.0	0.0	61.333333333333336	0.4714045207910317	119.0
129	7242025.325000001	-2.3370979684855795e-08	0.9491852700710297	0.0	1.9016509056091309	70.72168565068704	1.1589663802000547	0.0	0.0	67.0	1.4142135623730951	129.0
139	2021467.9125000006	-9.218454231074703e-08	0.9231621742248535	0.0	1.7311007976531982	79.83149046007345	1.2109436347590457	0.0	0.0	76.0	1.4142135623730951	139.0
149	274408.22128906247	1.614093756430179e-08	0.915276950597763	0.0	1.6228094577789307	86.30551742119252	1.6990501433943994	0.0	0.0	82.33333333333333	1.8856180831641267	149.0
159	5943.890551757812	8.785724636695135e-09	0.9372016608715058	0.0	1.6610275268554686	85.37016042215483	1.5277036863183202	0.0	0.0	81.66666666666667	1.699673171197595	159.0
169	1500.0084228515625	-4.0769578324439945e-09	0.9442286789417267	0.0	1.6613570928573609	80.36817511574212	2.525121776258085	0.0	0.0	76.33333333333333	2.6246692913372702	169.0
